,id,cnt,time,d0,d1,d2
81,82,82,2019-09-01 00:05:46.922684,37.0,90.0,0.0
82,83,83,2019-09-01 00:05:47.291426,34.0,90.0,0.0
83,84,84,2019-09-01 00:05:48.023190,35.0,87.0,0.0
84,85,85,2019-09-01 00:05:49.019364,33.0,92.0,0.0
85,86,86,2019-09-01 00:05:50.083454,34.0,92.0,0.0
86,87,87,2019-09-01 00:05:51.175700,36.0,92.0,0.0
87,88,88,2019-09-01 00:05:52.188902,38.0,89.0,0.0
88,89,89,2019-09-01 00:05:53.287607,35.0,88.0,0.0
89,90,90,2019-09-01 00:05:54.323642,39.0,92.0,0.0
90,91,91,2019-09-01 00:05:55.344813,34.0,90.0,0.0
91,92,92,2019-09-01 00:05:56.394585,35.0,89.0,0.0
92,93,93,2019-09-01 00:05:57.463711,36.0,93.0,0.0
